dataHora,ordem,linha,latitude,longitude,velocidade
09-24-2016 22:16:23,B32617,,"-22.81613","-43.394749",0
09-24-2016 22:16:25,B42588,457,"-22.986099","-43.189999",0
09-24-2016 22:16:25,B42620,,"-22.876369","-43.329472",0
09-24-2016 22:16:26,B32546,793,"-22.81702","-43.394001",0
09-24-2016 22:16:26,D53581,397,"-22.883221","-43.495071",0
09-24-2016 22:16:28,D86373,918,"-22.894396","-43.531898",0.93
09-24-2016 22:16:29,B25821,,"-22.90214","-43.299358",0
09-24-2016 22:16:29,D86744,2381,"-22.894514","-43.533165",0
09-24-2016 22:16:31,B27162,951,"-22.849449","-43.323391",0
09-24-2016 22:16:32,B58191,628,"-22.8409","-43.28093",9
09-24-2016 22:16:33,D12102,2335,"-22.999491","-43.358521",1
09-24-2016 22:16:34,D86255,851,"-22.893127","-43.532787",29.82
09-24-2016 22:16:34,D87306,770,"-22.916731","-43.60743",0
09-24-2016 22:16:35,A72163,007,"-22.912807","-43.183899",0.37
09-24-2016 22:16:35,B75647,,"-22.831129","-43.323799",0
09-24-2016 22:16:36,B42553,,"-22.876261","-43.330441",0
09-24-2016 22:16:36,C13026,338,"-22.884584","-43.227039",20
09-24-2016 22:16:36,D87798,,"-22.91769","-43.607479",0
09-24-2016 22:16:37,D87521,398,"-22.9189","-43.60738",0
09-24-2016 22:16:37,D87834,2336,"-22.91749","-43.607361",0
09-24-2016 22:16:40,D86406,838,"-22.895248","-43.533081",0
09-24-2016 22:16:42,B25596,606,"-22.90205","-43.29842",0
09-24-2016 22:16:43,B27075,905,"-22.849489","-43.323349",0
09-24-2016 22:16:44,B25575,232,"-22.90274","-43.297691",0
09-24-2016 22:16:45,B31150,,"-22.806141","-43.307949",19
09-24-2016 22:16:46,C50227,301,"-22.929468","-43.253693",0
09-24-2016 22:16:49,B27009,905,"-22.849541","-43.32349",0
09-24-2016 22:16:50,B32616,,"-22.81687","-43.394272",0
09-24-2016 22:16:51,B32804,,"-22.818029","-43.392948",0
09-24-2016 22:16:51,B32810,,"-22.81625","-43.394508",0
09-24-2016 22:16:52,B32611,793,"-22.814301","-43.382622",0
09-24-2016 22:16:52,B63047,,"-22.791941","-43.294521",7
09-24-2016 22:16:53,B28584,,"-22.81522","-43.18856",0
09-24-2016 22:16:54,B10522,627,"-22.86772","-43.257069",0
09-24-2016 22:16:54,B32523,795,"-22.81662","-43.394321",0
09-24-2016 22:16:55,B25802,2251,"-22.90209","-43.2994",0
09-24-2016 22:16:56,B10557,,"-22.86816","-43.256969",0
09-24-2016 22:16:57,B11601,778,"-22.866514","-43.355427",0
09-24-2016 22:16:57,C82628,678,"-22.858208","-43.371174",2.59
09-24-2016 22:16:58,B10511,627,"-22.87454","-43.284901",0
09-24-2016 22:16:59,B42501,,"-22.876301","-43.32975",0
09-24-2016 22:17:00,D17119,840,"-22.90333","-43.716789",55
09-24-2016 22:17:00,D87245,850,"-22.91877","-43.608292",0
09-24-2016 22:17:01,A41194,462,"-22.874218","-43.242466",0
09-24-2016 22:17:01,D87197,770,"-22.916969","-43.607349",0
09-24-2016 22:17:02,D86376,867,"-22.989586","-43.577606",54.08
09-24-2016 22:17:02,D86780,2381,"-22.894047","-43.532703",0
09-24-2016 22:17:02,D87053,771,"-22.91851","-43.60743",0
09-24-2016 22:17:03,A41148,108,"-22.874847","-43.242485",0
09-24-2016 22:17:03,A72171,105,"-22.892279","-43.289322",34.63
09-24-2016 22:17:03,B27062,629,"-22.81683","-43.301311",0
09-24-2016 22:17:03,C20237,611,"-22.969687","-43.41367",0
09-24-2016 22:17:05,B31097,498,"-22.80405","-43.3102",0
09-24-2016 22:17:06,B71078,247,"-22.914595","-43.298565",0.37
09-24-2016 22:17:06,D53641,393,"-22.9021","-43.181549",0
09-24-2016 22:17:06,D53738,789,"-22.882429","-43.342171",35
09-24-2016 22:17:07,C41895,,"-22.870306","-43.249275",7.41
09-24-2016 22:17:07,D87282,,"-22.918921","-43.607811",0
09-24-2016 22:17:08,A72151,014,"-22.91877","-43.183147",10.56
09-24-2016 22:17:08,B71084,247,"-22.902424","-43.314877",0
09-24-2016 22:17:08,C44615,712,"-22.86043","-43.355919",0
09-24-2016 22:17:09,B32680,,"-22.81588","-43.394909",0
09-24-2016 22:17:10,C20056,880,"-22.957317","-43.34544",0
09-24-2016 22:17:11,A41094,110,"-22.902906","-43.208176",0
09-24-2016 22:17:11,A41460,100,"-22.857914","-43.244751",0
09-24-2016 22:17:12,A41103,,"-22.875338","-43.241924",0
09-24-2016 22:17:12,A41856,,"-22.870081","-43.249073",0
09-24-2016 22:17:13,B27068,,"-22.85726","-43.36623",0
09-24-2016 22:17:13,C44603,,"-22.86038","-43.356049",0
09-24-2016 22:17:14,B25822,,"-22.902189","-43.299461",0
09-24-2016 22:17:14,B44563,,"-22.86067","-43.355591",0
09-24-2016 22:17:14,D86199,802,"-22.900646","-43.543594",58.89
09-24-2016 22:17:15,B11514,908,"-22.860434","-43.371117",0.19
09-24-2016 22:17:15,B42539,650,"-22.8969","-43.256699",0
09-24-2016 22:17:15,B44538,685,"-22.861179","-43.356449",0
09-24-2016 22:17:15,D86335,835,"-22.89493","-43.532894",0
09-24-2016 22:17:16,B11626,778,"-22.844057","-43.361847",1.11
09-24-2016 22:17:16,B11672,669,"-22.811485","-43.372814",0.56
09-24-2016 22:17:16,B32566,688,"-22.816231","-43.394539",0
09-24-2016 22:17:17,B28529,329,"-22.81514","-43.188309",0
09-24-2016 22:17:17,B42524,,"-22.876301","-43.329899",0
09-24-2016 22:17:17,B42558,,"-22.876789","-43.330181",0
09-24-2016 22:17:18,B25612,,"-22.902241","-43.298882",0
09-24-2016 22:17:18,D86148,835,"-22.894907","-43.532848",0
09-24-2016 22:17:19,B27040,629,"-22.81653","-43.30061",0
09-24-2016 22:17:19,B32656,687,"-22.81731","-43.393559",0
09-24-2016 22:17:19,C27023,315,"-22.81711","-43.301399",0
09-24-2016 22:17:19,D86048,884,"-22.893538","-43.532406",0.19
09-24-2016 22:17:20,A72016,410,"-22.888851","-43.29253",0.56
09-24-2016 22:17:20,C47853,,"-22.93449","-43.352531",46
09-24-2016 22:17:21,A50167,220,"-22.92905","-43.25428",0
09-24-2016 22:17:21,D53602,397,"-22.905371","-43.192669",30
